Variety,Lon,Lat
Southern  ,25.52,64.98
Southern  ,25.52,64.97
Southern  ,25.5,64.97
Southern  ,25.41,64.93
Southern  ,25.26,64.99
Southern  ,25.26,64.99
Southern  ,25.31,64.98
Southern  ,25.29,64.82
Southern  ,25.3,64.83
Southern  ,25.27,64.82
Southern  ,25.27,64.85
Southern  ,25.32,64.8
Southern  ,25.34,65.24
Southern  ,25.32,65.23
Southern  ,25.32,65.23
Southern  ,25.32,65.23
Southern  ,25.32,65.23
Southern  ,25.32,65.23
Southern  ,25.32,65.23
Southern  ,25.32,65.23
Southern  ,25.33,65.24
Southern  ,25.31,65.23
Southern  ,25.29,65.16
Southern  ,25.31,65.23
Southern  ,25.3,65.23
Southern  ,25.31,65.23
Southern  ,25.31,65.23
Southern  ,25.25,65.13
Southern  ,25.27,65.17
Southern  ,25.22,64.99
Southern  ,25.1,64.91
Southern  ,25.1,64.88
Southern  ,25.16,64.89
Southern  ,25.39,65.29
Southern  ,25.32,65.24
Southern  ,25.31,65.25
Southern  ,25.34,65.26
Southern  ,25.29,65.23
Southern  ,25.3,65.23
Southern  ,25.29,65.23
Southern  ,25.29,65.22
Southern  ,25.29,65.23
Southern  ,25.29,65.23
Southern  ,25.11,64.79
Southern  ,25.31,65.28
Southern  ,25.37,65.42
Southern  ,25.27,65.37
Southern  ,24.97,64.9
Southern  ,24.98,64.9
Southern  ,25.33,65.48
Southern  ,25.36,65.46
Southern  ,25.13,64.53
Southern  ,25.27,65.51
Southern  ,25.27,65.51
Southern  ,25.27,65.51
Southern  ,21.75,63.05
Southern  ,24.84,65.02
Southern  ,24.84,65.03
Southern  ,24.8,64.94
Southern  ,25.09,65.59
Southern  ,25.09,65.59
Southern  ,24.77,65.01
Southern  ,25.05,65.6
Southern  ,24.69,64.97
Southern  ,24.64,64.8
Southern  ,24.69,64.79
Southern  ,24.67,64.97
Southern  ,24.6,64.79
Southern  ,24.6,64.78
Southern  ,24.51,64.7
Southern  ,24.53,64.71
Southern  ,24.93,65.63
Southern  ,24.66,65.06
Southern  ,24.51,64.7
Southern  ,24.48,64.7
Southern  ,24.5,64.71
Southern  ,24.93,65.65
Southern  ,24.9,65.65
Southern  ,24.49,64.61
Southern  ,24.37,64.57
Southern  ,24.37,64.56
Southern  ,24.41,64.64
Southern  ,24.42,64.67
Southern  ,24.31,64.52
Southern  ,24.39,64.56
Southern  ,24.45,64.66
Southern  ,24.35,64.53
Southern  ,24.29,64.52
Southern  ,24.33,64.52
Southern  ,24.27,64.53
Southern  ,24.29,64.5
Southern  ,24.36,64.53
Southern  ,24.27,64.52
Southern  ,24.29,64.5
Southern  ,24.29,64.51
Southern  ,24.21,64.48
Southern  ,24.78,65.66
Southern  ,24.09,64.42
Southern  ,24.74,65.66
Southern  ,23.91,64.24
Southern  ,23.67,64.14
Southern  ,23.67,64.18
Southern  ,24.67,65.65
Southern  ,23.64,64.19
Southern  ,23.62,64.19
Southern  ,23.71,64.14
Southern  ,23.64,64.2
Southern  ,23.04,63.81
Southern  ,23.13,63.86
Southern  ,22.95,63.76
Southern  ,22.69,65.77
Southern  ,24.6,65.74
Southern  ,24.55,65.67
Southern  ,24.63,65.71
Southern  ,24.56,65.68
Southern  ,24.63,65.71
Southern  ,24.54,65.67
Southern  ,23.11,65.88
Southern  ,22.96,65.7
Southern  ,22.96,65.7
Southern  ,22.96,65.7
Southern  ,22.79,65.56
Southern  ,23.11,65.72
Southern  ,23.09,65.71
Southern  ,23.14,65.73
Southern  ,23.13,65.72
Southern  ,23.09,65.67
Southern  ,23.1,65.72
Southern  ,23.14,65.72
Southern  ,23.09,65.67
Southern  ,23.08,65.66
Southern  ,23.26,65.72
Southern  ,23.26,65.72
Southern  ,23.58,65.79
Southern  ,23.79,65.72
Southern  ,23.78,65.73
Southern  ,23.83,65.66
Southern  ,23.8,65.64
Southern  ,23.81,65.64
Southern  ,23.78,65.64
Southern  ,23.81,65.63
Southern  ,23.8,65.64
Southern  ,23.81,65.63
Southern  ,23.79,65.64
Southern  ,23.8,65.64
Southern  ,23.81,65.63
Southern  ,23.75,65.7
Southern  ,23.81,65.63
Southern  ,23.81,65.63
Southern  ,23.79,65.64
Southern  ,24.14,65.71
Southern  ,24.11,65.7
Southern  ,24.15,65.71
Southern  ,24.14,65.71
Southern  ,24.16,65.71
Southern  ,24.14,65.71
Southern  ,24.11,65.7
Southern  ,24.11,65.71
Southern  ,24.11,65.7
Southern  ,24.15,65.71
Southern  ,24.11,65.7
Southern  ,24.11,65.7
Southern  ,24.11,65.7
Southern  ,24.15,65.71
Southern  ,24.11,65.7
Southern  ,24.15,65.71
Southern  ,24.15,65.71
Southern  ,24.11,65.7
Southern  ,24.11,65.7
Southern  ,24.14,65.71
Southern  ,24.14,65.71
Southern  ,24.15,65.71
Southern  ,24.09,65.83
Southern  ,24.16,65.77
Southern  ,35.78,65.16
Southern  ,34.81,64.9
Southern  ,34.9,64.82
Southern  ,35.69,65.05
Southern  ,35.9,66.39
Southern  ,35.01,66.58
Southern  ,32.33,67.21
Southern  ,32.46,67.18
Southern  ,32.2,67.21
Southern  ,33.28,66.22
Southern  ,33.37,66.81
Southern  ,32.35,67.02
Southern  ,32.34,67
Southern  ,33.11,66.64
Southern  ,32.71,66.77
Southern  ,33.02,66.95
Northern  ,25.55,70.32
Northern  ,25.6,70.33
Northern  ,25.52,70.31
Northern  ,25.82,70.69
Northern  ,25.83,70.76
Northern  ,25.16,70.32
Northern  ,25.22,70.45
Northern  ,25.67,70.75
Northern  ,25.06,70.27
Northern  ,25.14,70.31
Northern  ,22.98,69.92
Northern  ,23.02,69.94
Northern  ,21.48,69.53
Northern  ,23.39,69.96
Northern  ,23.38,69.97
Northern  ,23.29,69.95
Northern  ,23.3,69.98
Northern  ,23.36,69.98
Northern  ,23.37,69.98
Northern  ,22.97,70.04
Northern  ,22.94,70.04
Northern  ,23.43,69.93
Northern  ,23.21,69.95
Northern  ,23.17,69.95
Northern  ,23.42,69.97
Northern  ,23.42,69.97
Northern  ,23.41,69.97
Northern  ,23.24,69.96
Northern  ,22.13,70.49
Northern  ,23.26,69.98
Northern  ,23.25,69.97
Northern  ,23.13,69.93
Northern  ,23.28,69.98
Northern  ,22.97,70.07
Northern  ,23.52,69.92
Northern  ,22.95,69.89
Northern  ,23.06,69.93
Northern  ,23.38,70.12
Northern  ,24.99,71.03
Northern  ,23.31,70.73
Northern  ,23.67,70.67
Northern  ,23.81,70.42
Northern  ,22.89,69.94
Northern  ,22.96,69.98
Northern  ,24.43,70.75
Northern  ,24.07,70.42
Northern  ,33.25,69.04
Northern  ,33.09,69.04
Northern  ,33.09,68.88
Northern  ,30.09,69.71
Northern  ,35.16,69.15
Northern  ,30.12,69.68
Northern  ,30.29,69.67
Northern  ,30.32,69.67
Northern  ,29.51,69.52
Northern  ,30.35,69.68
Northern  ,30.42,69.67
Northern  ,30.11,69.76
Northern  ,30.44,69.7
Northern  ,30.39,69.7
Northern  ,30.05,70.19
Northern  ,30.67,70.31
