ID,Var,Plot,Pop,Add,Garden,OrigSize,Flow14,FlowNo14,Dayofyear14,Alive14,Size14,Flow15,FlowNo15,Dayofyear15,Alive15,Size15,Flow16,FlowNo16,Dayofyear16,Alive16,Size16
1B,Northern,A,H,1,TARTU,0.294,0,0,0,1,0,0,0,0,1,2.359,0,0,0,0,0
3B,Northern,A,H,1,TARTU,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4B,Northern,A,K,1,TARTU,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5B,Southern,A,E,1,TARTU,0.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6B,Southern,A,E,1,TARTU,8.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7B,Southern,A,B,1,TARTU,4.278,0,0,0,1,8.5,1,6,134,1,24.102,1,10,130,1,3.574
8B,Southern,A,B,1,TARTU,7.385,0,0,0,1,13.307,0,0,0,1,9.086,0,0,0,1,1.503
9B,Northern,A,I,1,TARTU,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11B,Northern,A,H,1,TARTU,0.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12B,Southern,A,C,1,TARTU,3.611,1,2,127,1,0,0,0,0,0,0,0,0,0,0,0
13B,Northern,A,F,1,TARTU,0.173,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
14B,Southern,A,C,1,TARTU,15.982,1,2,142,1,8.307,1,1,138,1,13.494,1,12,130,1,19.236
15B,Northern,A,K,1,TARTU,0.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16B,Northern,A,I,1,TARTU,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17B,Southern,A,C,1,TARTU,3.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19B,Southern,A,C,1,TARTU,0.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20B,Northern,A,F,1,TARTU,0.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21B,Northern,A,K,1,TARTU,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22B,Southern,A,B,1,TARTU,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24B,Southern,A,B,1,TARTU,0.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25B,Southern,A,E,1,TARTU,0.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27B,Southern,A,C,1,TARTU,1.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28B,Southern,A,B,1,TARTU,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29B,Southern,A,C,1,TARTU,1.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31B,Southern,B,C,1,TARTU,8.435,1,4,136,1,25.071,1,13,135,1,42.154,1,8,132,1,39.513
32B,Southern,B,C,1,TARTU,2.329,0,0,0,1,22.927,1,11,134,1,41.324,1,12,130,1,8.361
37B,Northern,B,F,1,TARTU,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39B,Northern,B,K,1,TARTU,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41B,Northern,B,I,1,TARTU,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42B,Northern,B,F,1,TARTU,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43B,Northern,B,I,1,TARTU,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44B,Northern,B,H,1,TARTU,0.229,0,0,0,1,0.214,0,0,0,0,0,0,0,0,0,0
45B,Southern,B,E,1,TARTU,3.85,1,1,139,1,14.141,1,13,135,1,30.459,1,9,132,1,4.874
48B,Southern,B,C,1,TARTU,0.664,0,0,0,1,9.734,1,7,136,1,8.716,0,0,0,0,0
52B,Southern,B,B,1,TARTU,0.384,0,0,0,1,0.848,0,0,0,1,3.283,0,0,0,0,0
55B,Southern,B,C,1,TARTU,2.46,0,0,0,1,9.867,1,17,134,1,8.458,0,0,0,1,0.854
58B,Southern,B,B,1,TARTU,0.144,0,0,0,1,0.112,0,0,0,0,0,0,0,0,0,0
59B,Southern,B,B,1,TARTU,7.824,1,4,136,1,24.634,1,2,138,1,0.484,0,0,0,0,0
60B,Northern,C,K,1,TARTU,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61B,Northern,C,K,1,TARTU,0.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62B,Northern,C,F,1,TARTU,0.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63B,Southern,C,B,1,TARTU,3.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64B,Northern,C,H,1,TARTU,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65B,Southern,C,B,1,TARTU,0.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67B,Northern,C,H,1,TARTU,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68B,Southern,C,E,1,TARTU,8.579,0,0,0,1,1.61,0,0,0,0,0,0,0,0,0,0
69B,Northern,C,F,1,TARTU,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
